syllables:	1973
LE'U'I	ལེའུའི
LE'UR	ལེའུར
LE'US	ལེའུས
LEGS	ལེགས
LEN	ལེན
LHA	ལྷ
LHA'I	ལྷའི
LHAG	ལྷག
LHAGS	ལྷགས
LHAM	ལྷམ
LHAN	ལྷན
LHAR	ལྷར
LHAS	ལྷས
LHO	ལྷོ
LHUMS	ལྷུམས
LHUN	ལྷུན
LHUNG	ལྷུང
LHUR	ལྷུར
LI	ལི
LING	ལིང
LJAGS	ལྗགས
LJAN	ལྗན
LJANG	ལྗང
LJIN	ལྗིན
LJON	ལྗོན
LKOG	ལྐོག
LNGA	ལྔ
LNGA'I	ལྔའི
LNGA'O	ལྔའོ
LNGAR	ལྔར
LNGAS	ལྔས
LO	ལོ
LO'ANG	ལོའང
LO'I	ལོའི
LOG	ལོག
LOGS	ལོགས
LON	ལོན
LONG	ལོང
LONGS	ལོངས
LOR	ལོར
LOS	ལོས
LPAGS	ལྤགས
LTA	ལྟ
LTA'ANG	ལྟའང
LTA'I	ལྟའི
LTA'O	ལྟའོ
LTAD	ལྟད
LTAG	ལྟག
LTAR	ལྟར
LTAS	ལྟས
LTE	ལྟེ
LTO	ལྟོ
LTOS	ལྟོས
LTUNG	ལྟུང
LU	ལུ
LU'I	ལུའི
LUD	ལུད
LUGS	ལུགས
LUNG	ལུང
LUS	ལུས
LVA	ལྭ
M'U	མཱུ
MA	མ
MA'ANG	མའང
MA'I	མའི
MA'O	མའོ
MAL	མལ
MAM	མམ
MAN	མན
MANG	མང
MANGGA	མངྒ
MANGS	མངས
MANYDZU	མཉྫུ
MAR	མར
MAS	མས
MCHE	མཆེ
MCHED	མཆེད
MCHI	མཆི
MCHI'O	མཆིའོ
MCHIS	མཆིས
MCHOD	མཆོད
MCHOG	མཆོག
MCHU	མཆུ
MDA'	མདའ
MDA'I	མདའི
MDANGS	མདངས
MDO	མདོ
MDO'I	མདོའི
MDOG	མདོག
MDOMS	མདོམས
MDONGS	མདོངས
MDOR	མདོར
MDOS	མདོས
MDUD	མདུད
MDUN	མདུན
MDUNG	མདུང
MDZA'	མཛའ
MDZAD	མཛད
MDZANGS	མཛངས
MDZES	མཛེས
MDZOD	མཛོད
ME	མེ
ME'I	མེའི
MED	མེད
MES	མེས
MGAL	མགལ
MGO	མགོ
MGON	མགོན
MGOR	མགོར
MGOS	མགོས
MGRIN	མགྲིན
MGU	མགུ
MGUR	མགུར
MI	མི
MI'I	མིའི
MIG	མིག
MIN	མིན
MING	མིང
MIR	མིར
MIS	མིས
MJAL	མཇལ
MJUG	མཇུག
MKHA'	མཁའ
MKHA'I	མཁའི
MKHAN	མཁན
MKHAR	མཁར
MKHAS	མཁས
MKHO	མཁོ
MKHREGS	མཁྲེགས
MKHRIS	མཁྲིས
MKHYEN	མཁྱེན
MKHYUD	མཁྱུད
MNA'	མནའ
MNAL	མནལ
MNAR	མནར
MNGA'	མངའ
MNGA'I	མངའི
MNGAL	མངལ
MNGAR	མངར
MNGON	མངོན
MNYAM	མཉམ
MNYAN	མཉན
MNYEN	མཉེན
MNYES	མཉེས
MO	མོ
MO'I	མོའི
MOD	མོད
MOG	མོག
MONG	མོང
MONGS	མོངས
MOR	མོར
MOS	མོས
MRA	མྲ
MRA'I	མྲའི
MTHA'	མཐའ
MTHA'I	མཐའི
MTHAR	མཐར
MTHAS	མཐས
MTHIL	མཐིལ
MTHING	མཐིང
MTHO	མཐོ
MTHO'I	མཐོའི
MTHON	མཐོན
MTHONG	མཐོང
MTHU	མཐུ
MTHU'I	མཐུའི
MTHUN	མཐུན
MTHUS	མཐུས
MTSAMS	མཚམས
MTSAN	མཚན
MTSAR	མཚར
MTSO	མཚོ
MTSO'I	མཚོའི
MTSON	མཚོན
